Bezeichnung_DE;Bezeichnung_EN;Kategorie;Layer;Geometry;Geometry_type;Beschreibung_DE;Beschreibung_EN;URL;Stand;Quelle;Reichweite;Art;Nation
Open Data Stadt Leipzig;Open Data Leipzig ;Verwaltung;Stadt;51.3406321, 12.3747329;point;Von der Verwaltung Leipzigs veröffentlichte Datensätze für die unterschiedlichsten Themen. ;;https://opendata.leipzig.de/;10/19;;Leipzig;thematisch;Germany
Geodaten in Thüringen;Geoportal Th;Verwaltung;Bundesland;15;polygon;mehr unter <a href=‘https://www.geoportal-th.de/Portals/0/Broschuere%20Geodaten/Multmediale%20Broschu%CC%88re_Internet.pdf‘ target=‘_blank‘>Broschüre Geodaten</a>;;https://www.geoportal-th.de/de-de/;;;Thüringen;geographisch;Germany
